Time (s),Full Flux Solve,IQS Solve,Relative Difference
0.0,0.90903993,0.90903993,0.00000
0.1,0.91253395,0.90903993,0.00383
0.2,0.92068212,0.91341921,0.00789
0.3,0.93564944,0.92419479,0.01224
0.4,0.96072564,0.94502984,0.01634
0.5,1.00132530,0.98193047,0.01937
0.6,1.06731452,1.04589052,0.02007
0.7,1.13375988,1.11085442,0.02020
0.8,1.19865931,1.17468271,0.02000
0.9,1.26133943,1.23659429,0.01962
1.0,1.32173672,1.29643586,0.01914
1.1,1.33970601,1.31604696,0.01766
1.2,1.32132462,1.30051903,0.01575
1.3,1.27831729,1.26067046,0.01380
1.4,1.22290272,1.20822518,0.01200
1.5,1.16481963,1.15274011,0.01037
1.6,1.11035980,1.10047097,0.00891
1.7,1.06269788,1.05460529,0.00762
1.8,1.03149816,1.02465437,0.00663
1.9,1.01107465,1.00511526,0.00589
2.0,0.99776339,0.99243083,0.00534
